,year_week,year_week_ts,sinal_aps,sinal_aih,sinal_otc
0,2022-47,2022-11-21,0,1,0
1,2022-48,2022-11-28,0,0,0
2,2022-49,2022-12-05,0,0,0
3,2022-50,2022-12-12,0,0,0
4,2022-51,2022-12-19,18,0,36
5,2022-52,2022-12-26,4,0,11
6,2023-01,2023-01-02,1,0,6
7,2023-02,2023-01-09,0,0,8
8,2023-03,2023-01-16,13,0,29
9,2023-04,2023-01-23,30,0,16
10,2023-05,2023-01-30,17,1,33
11,2023-06,2023-02-06,29,0,15
12,2023-07,2023-02-13,100,1,57
13,2023-08,2023-02-20,37,1,119
14,2023-09,2023-02-27,248,1,249
15,2023-10,2023-03-06,308,3,260
16,2023-11,2023-03-13,256,3,211
17,2023-12,2023-03-20,372,18,247
18,2023-13,2023-03-27,164,17,235
19,2023-14,2023-04-03,27,13,57
20,2023-15,2023-04-10,127,17,163
21,2023-16,2023-04-17,67,13,111
22,2023-17,2023-04-24,121,13,138
23,2023-18,2023-05-01,125,25,161
24,2023-19,2023-05-08,87,28,148
25,2023-20,2023-05-15,157,25,76
26,2023-21,2023-05-22,70,24,25
27,2023-22,2023-05-29,71,13,83
28,2023-23,2023-06-05,7,8,11
29,2023-24,2023-06-12,8,8,46
30,2023-25,2023-06-19,8,7,236
31,2023-26,2023-06-26,10,6,321
32,2023-27,2023-07-03,46,6,165
33,2023-28,2023-07-10,25,4,72
34,2023-29,2023-07-17,26,1,16
35,2023-30,2023-07-24,38,0,12
36,2023-31,2023-07-31,35,1,23
37,2023-32,2023-08-07,34,2,23
38,2023-33,2023-08-14,69,1,8
39,2023-34,2023-08-21,158,0,5
40,2023-35,2023-08-28,209,1,56
41,2023-36,2023-09-04,40,0,26
42,2023-37,2023-09-11,165,0,74
43,2023-38,2023-09-18,118,0,69
44,2023-39,2023-09-25,127,0,111
45,2023-40,2023-10-02,302,0,71
46,2023-41,2023-10-09,36,0,60
47,2023-42,2023-10-16,223,1,118
48,2023-43,2023-10-23,280,0,109
49,2023-44,2023-10-30,74,0,152
50,2023-45,2023-11-06,348,1,182
51,2023-46,2023-11-13,88,0,124
52,2023-47,2023-11-20,101,0,193
53,2023-48,2023-11-27,253,0,275
54,2023-49,2023-12-04,111,0,128
55,2023-50,2023-12-11,114,0,216
56,2023-51,2023-12-18,76,0,137
57,2023-52,2023-12-25,4,0,25
58,2024-01,2024-01-01,4,1,32
59,2024-02,2024-01-08,29,0,57
60,2024-03,2024-01-15,40,0,34
61,2024-04,2024-01-22,83,0,85
62,2024-05,2024-01-29,99,0,166
63,2024-06,2024-02-05,66,0,90
64,2024-07,2024-02-12,18,0,53
65,2024-08,2024-02-19,155,0,101
66,2024-09,2024-02-26,242,0,92
67,2024-10,2024-03-04,251,2,114
68,2024-11,2024-03-11,339,2,184
69,2024-12,2024-03-18,117,3,145
70,2024-13,2024-03-25,7,3,161
71,2024-14,2024-04-01,56,20,80
72,2024-15,2024-04-08,108,20,96
73,2024-16,2024-04-15,201,31,118
74,2024-17,2024-04-22,293,33,123
75,2024-18,2024-04-29,30,24,185
76,2024-19,2024-05-06,50,20,202
77,2024-20,2024-05-13,47,8,156
78,2024-21,2024-05-20,47,17,132
79,2024-22,2024-05-27,26,8,103
80,2024-23,2024-06-03,50,19,99
81,2024-24,2024-06-10,40,14,74
82,2024-25,2024-06-17,29,14,58
83,2024-26,2024-06-24,84,7,87
84,2024-27,2024-07-01,19,7,16
85,2024-28,2024-07-08,27,7,31
86,2024-29,2024-07-15,27,5,39
87,2024-30,2024-07-22,62,4,55
88,2024-31,2024-07-29,26,2,67
89,2024-32,2024-08-05,28,1,19
90,2024-33,2024-08-12,49,1,17
91,2024-34,2024-08-19,186,3,44
92,2024-35,2024-08-26,247,4,123
93,2024-36,2024-09-02,270,1,123
94,2024-37,2024-09-09,222,7,183
95,2024-38,2024-09-16,117,2,73
96,2024-39,2024-09-23,106,0,40
97,2024-40,2024-09-30,76,2,79
98,2024-41,2024-10-07,40,0,54
99,2024-42,2024-10-14,11,0,76
100,2024-43,2024-10-21,38,0,51
101,2024-44,2024-10-28,11,0,137
102,2024-45,2024-11-04,11,0,79
103,2024-46,2024-11-11,43,0,97
104,2024-47,2024-11-18,18,0,115
105,2024-48,2024-11-25,128,0,121
106,2024-49,2024-12-02,223,0,85
107,2024-50,2024-12-09,216,0,102
108,2024-51,2024-12-16,147,0,56
109,2024-52,2024-12-23,1,0,15
