,year_week,year_week_ts,sinal_aps,sinal_aih,sinal_otc
0,2022-47,2022-11-21,0,2,0
1,2022-48,2022-11-28,0,0,0
2,2022-49,2022-12-05,0,0,0
3,2022-50,2022-12-12,0,1,0
4,2022-51,2022-12-19,14,0,26
5,2022-52,2022-12-26,2,0,8
6,2023-01,2023-01-02,0,0,4
7,2023-02,2023-01-09,0,0,6
8,2023-03,2023-01-16,13,0,19
9,2023-04,2023-01-23,28,1,13
10,2023-05,2023-01-30,15,1,27
11,2023-06,2023-02-06,25,0,12
12,2023-07,2023-02-13,69,1,43
13,2023-08,2023-02-20,21,0,80
14,2023-09,2023-02-27,188,2,172
15,2023-10,2023-03-06,221,9,191
16,2023-11,2023-03-13,198,9,151
17,2023-12,2023-03-20,269,12,175
18,2023-13,2023-03-27,130,13,181
19,2023-14,2023-04-03,19,19,40
20,2023-15,2023-04-10,88,15,120
21,2023-16,2023-04-17,46,12,74
22,2023-17,2023-04-24,80,12,90
23,2023-18,2023-05-01,87,15,106
24,2023-19,2023-05-08,55,30,97
25,2023-20,2023-05-15,109,22,44
26,2023-21,2023-05-22,48,22,14
27,2023-22,2023-05-29,54,12,61
28,2023-23,2023-06-05,6,5,7
29,2023-24,2023-06-12,8,5,26
30,2023-25,2023-06-19,8,9,165
31,2023-26,2023-06-26,8,5,236
32,2023-27,2023-07-03,31,8,128
33,2023-28,2023-07-10,21,2,57
34,2023-29,2023-07-17,19,1,14
35,2023-30,2023-07-24,28,0,9
36,2023-31,2023-07-31,29,1,19
37,2023-32,2023-08-07,30,4,16
38,2023-33,2023-08-14,53,1,6
39,2023-34,2023-08-21,119,0,3
40,2023-35,2023-08-28,146,1,46
41,2023-36,2023-09-04,33,0,23
42,2023-37,2023-09-11,122,0,56
43,2023-38,2023-09-18,85,0,56
44,2023-39,2023-09-25,89,0,89
45,2023-40,2023-10-02,215,0,54
46,2023-41,2023-10-09,32,0,43
47,2023-42,2023-10-16,158,0,94
48,2023-43,2023-10-23,199,1,73
49,2023-44,2023-10-30,53,0,103
50,2023-45,2023-11-06,248,1,118
51,2023-46,2023-11-13,65,1,83
52,2023-47,2023-11-20,75,0,144
53,2023-48,2023-11-27,183,0,200
54,2023-49,2023-12-04,88,0,90
55,2023-50,2023-12-11,89,0,153
56,2023-51,2023-12-18,55,0,85
57,2023-52,2023-12-25,4,0,19
58,2024-01,2024-01-01,3,1,23
59,2024-02,2024-01-08,25,0,44
60,2024-03,2024-01-15,36,0,29
61,2024-04,2024-01-22,69,0,69
62,2024-05,2024-01-29,76,0,126
63,2024-06,2024-02-05,43,0,57
64,2024-07,2024-02-12,6,0,41
65,2024-08,2024-02-19,100,0,74
66,2024-09,2024-02-26,162,1,64
67,2024-10,2024-03-04,172,1,89
68,2024-11,2024-03-11,249,5,135
69,2024-12,2024-03-18,93,4,109
70,2024-13,2024-03-25,5,3,125
71,2024-14,2024-04-01,46,15,56
72,2024-15,2024-04-08,89,17,69
73,2024-16,2024-04-15,150,31,85
74,2024-17,2024-04-22,213,19,84
75,2024-18,2024-04-29,25,14,137
76,2024-19,2024-05-06,35,14,145
77,2024-20,2024-05-13,35,12,111
78,2024-21,2024-05-20,33,11,86
79,2024-22,2024-05-27,17,8,63
80,2024-23,2024-06-03,32,11,61
81,2024-24,2024-06-10,20,10,45
82,2024-25,2024-06-17,20,8,37
83,2024-26,2024-06-24,65,6,56
84,2024-27,2024-07-01,17,5,8
85,2024-28,2024-07-08,21,3,20
86,2024-29,2024-07-15,21,3,23
87,2024-30,2024-07-22,42,3,40
88,2024-31,2024-07-29,18,1,52
89,2024-32,2024-08-05,19,3,14
90,2024-33,2024-08-12,39,1,11
91,2024-34,2024-08-19,141,6,32
92,2024-35,2024-08-26,193,2,89
93,2024-36,2024-09-02,202,1,92
94,2024-37,2024-09-09,163,6,138
95,2024-38,2024-09-16,89,1,57
96,2024-39,2024-09-23,83,0,33
97,2024-40,2024-09-30,59,1,55
98,2024-41,2024-10-07,27,0,41
99,2024-42,2024-10-14,4,0,47
100,2024-43,2024-10-21,26,0,38
101,2024-44,2024-10-28,8,0,102
102,2024-45,2024-11-04,6,0,61
103,2024-46,2024-11-11,26,0,73
104,2024-47,2024-11-18,9,0,86
105,2024-48,2024-11-25,78,0,80
106,2024-49,2024-12-02,152,0,58
107,2024-50,2024-12-09,149,0,64
108,2024-51,2024-12-16,92,0,37
109,2024-52,2024-12-23,1,0,9
