,year_week,year_week_ts,epidemi_cal_start,epidemi_cal_end,atend_ivas,num_otc_ivas,out_of_limits_above_phc_only,out_of_limits_above_otc_only,region,n,warning_final_aih,phc_ma,otc_ma,aih_ma,phc_norm,otc_norm,aih_norm
0,2022-47,2022-11-21,2022-11-20,2022-11-26,55687,384898,0,0,Center-West,1138,0,55687.0,384898.0,1138.0,0.7226517257824336,0.4668878198839567,0.5080924210291328
1,2022-48,2022-11-28,2022-11-27,2022-12-03,57515,467908,0,0,Center-West,1227,0,56601.0,426403.0,1182.5,0.7345127288417679,0.5172340907512608,0.5279607099006586
2,2022-49,2022-12-05,2022-12-04,2022-12-10,63336,430456,0,0,Center-West,1267,0,58846.0,427754.0,1210.6666666666667,0.7636461553934148,0.51887287672745,0.5405365182125982
3,2022-50,2022-12-12,2022-12-11,2022-12-17,82039,453645,0,0,Center-West,1303,0,64644.25,434226.75,1233.75,0.8388902046152799,0.5267244325582255,0.5508427279830338
4,2022-51,2022-12-19,2022-12-18,2022-12-24,61811,465397,8,6,Center-West,1187,0,66175.25,454351.5,1246.0,0.8587580335910354,0.5511360965658578,0.5563120884027235
5,2022-52,2022-12-26,2022-12-25,2022-12-31,42540,367974,1,3,Center-West,1207,0,62431.5,429368.0,1241.0,0.810175287197838,0.5208306861764279,0.5540796963946869
6,2023-01,2023-01-02,2023-01-01,2023-01-07,40971,270050,0,1,Center-West,1165,0,56840.25,389266.5,1215.5,0.7376174826513364,0.4721868846781699,0.5426944971537002
7,2023-02,2023-01-09,2023-01-08,2023-01-14,34133,306308,0,1,Center-West,967,0,44863.75,352432.25,1131.5,0.5821981137890649,0.4275063129953848,0.5051903114186851
8,2023-03,2023-01-16,2023-01-15,2023-01-21,27689,263728,0,1,Center-West,992,0,36333.25,302015.0,1082.75,0.4714975814065151,0.36634933130921227,0.48342448934032817
9,2023-04,2023-01-23,2023-01-22,2023-01-28,25749,267123,2,1,Center-West,977,0,32135.5,276802.25,1025.25,0.4170232645659022,0.335765836770973,0.4577519812479071
