,year_week,year_week_ts,epidemi_cal_start,epidemi_cal_end,atend_ivas,num_otc_ivas,n,phc_ma,otc_ma,aih_ma,phc_norm,otc_norm,aih_norm
0,2022-47,2022-11-21,2022-11-20,2022-11-26,651884,5510217.0,14928,651884.0,5510217.0,14928.0,0.895694200653341,0.6299008982564636,0.6277082216405437
1,2022-48,2022-11-28,2022-11-27,2022-12-03,622545,5266833.0,14857,637214.5,5388525.0,14892.5,0.8755381819805647,0.6159896675171613,0.6262154803578374
2,2022-49,2022-12-05,2022-12-04,2022-12-10,567128,4981171.0,15357,613852.3333333334,5252740.333333333,15047.333333333334,0.8434383648382048,0.6004674324576731,0.6327260749664484
3,2022-50,2022-12-12,2022-12-11,2022-12-17,601644,4920891.0,14849,610800.25,5169778.0,14997.75,0.8392447761911795,0.5909835866693641,0.6306411428931848
4,2022-51,2022-12-19,2022-12-18,2022-12-24,447622,4541028.0,13084,559734.75,4927480.75,14536.75,0.7690803417159306,0.5632853571041635,0.6112565307431118
5,2022-52,2022-12-26,2022-12-25,2022-12-31,315729,3924281.0,12555,483030.75,4591842.75,13961.25,0.6636883885971029,0.5249168722170887,0.5870573023431833
6,2023-01,2023-01-02,2023-01-01,2023-01-07,314841,2772395.0,12710,419959.0,4039648.75,13299.5,0.5770272637649896,0.4617927708229277,0.5592313433620318
7,2023-02,2023-01-09,2023-01-08,2023-01-14,281217,3436211.0,11430,339852.25,3668478.75,12444.75,0.4669599029949952,0.4193624425063021,0.5232899176889843
8,2023-03,2023-01-16,2023-01-15,2023-01-21,237728,2900557.0,10641,287378.75,3258361.0,11834.0,0.3948608644574899,0.3724797990249438,0.49760846026890365
9,2023-04,2023-01-23,2023-01-22,2023-01-28,227854,2676707.0,10042,265410.0,2946467.5,11205.75,0.3646756137524517,0.33682566855960056,0.4711911444700243
10,2023-05,2023-01-30,2023-01-29,2023-02-04,235860,3590475.0,10415,245664.75,3150987.5,10632.0,0.3375454710960123,0.3602053887614387,0.44706550190797567
11,2023-06,2023-02-06,2023-02-05,2023-02-11,292107,3140946.0,11481,248387.25,3077171.25,10644.75,0.3412862094195157,0.3517670782228658,0.4476016272982434
12,2023-07,2023-02-13,2023-02-12,2023-02-18,400054,3902372.0,13861,288968.75,3327625.0,11449.75,0.39704553807892995,0.3803977187396911,0.48145111272299135
13,2023-08,2023-02-20,2023-02-19,2023-02-25,253182,4006228.0,14227,295300.75,3660005.25,12496.0,0.40574576032481563,0.418393793674255,0.5254449315126095
14,2023-09,2023-02-27,2023-02-26,2023-03-04,478820,5515383.0,15446,356040.75,4141232.25,13753.75,0.48920304068095866,0.47340529677209364,0.5783321244231396
15,2023-10,2023-03-06,2023-03-05,2023-03-11,523793,4706168.0,17056,413962.25,4532537.75,15147.5,0.5687876778911717,0.5181374163860207,0.6369379881631924
16,2023-11,2023-03-13,2023-03-12,2023-03-18,572296,5071230.0,18138,457022.75,4824752.25,16216.75,0.6279531737880386,0.5515419403881723,0.6818989351078033
17,2023-12,2023-03-20,2023-03-19,2023-03-25,619334,5630496.0,19886,548560.75,5230819.25,17631.5,0.7537271699889049,0.5979615220584237,0.7413878289024146
18,2023-13,2023-03-27,2023-03-26,2023-04-01,648689,7684432.0,20585,591028.0,5773081.5,18916.25,0.8120775353034326,0.6599502746548406,0.7954103461688059
19,2023-14,2023-04-03,2023-04-02,2023-04-08,496281,4302310.0,20984,584150.0,5672117.0,19898.25,0.8026271043799958,0.6484085097403164,0.8367025134819768
20,2023-15,2023-04-10,2023-04-09,2023-04-15,693242,5901066.0,22538,614386.5,5879576.0,20998.25,0.8441723144143803,0.6721242019628528,0.8829564687207627
21,2023-16,2023-04-17,2023-04-16,2023-04-22,574807,5463648.0,22143,603254.75,5837864.0,21562.5,0.828877194549308,0.6673558913376862,0.9066826453057492
22,2023-17,2023-04-24,2023-04-23,2023-04-29,677218,7372604.0,21907,610387.0,5759907.0,21893.0,0.8386769671508902,0.6584442306307886,0.9205798564024935
23,2023-18,2023-05-01,2023-04-30,2023-05-06,568959,5036600.0,22909,628556.5,5943479.5,22374.25,0.8636420158079685,0.6794293356902055,0.9408159618194624
24,2023-19,2023-05-08,2023-05-07,2023-05-13,697793,6237534.0,23135,629694.25,6027596.5,22523.5,0.8652052940550085,0.689045177291115,0.9470917825643613
25,2023-20,2023-05-15,2023-05-14,2023-05-20,771132,4934305.0,23486,678775.5,5895260.75,22859.25,0.9326433520312999,0.6739172054169686,0.9612097511747454
26,2023-21,2023-05-22,2023-05-21,2023-05-27,771376,4959643.0,24761,702315.0,5292020.5,23572.75,0.9649868266928644,0.6049577478603146,0.9912117485046307
27,2023-22,2023-05-29,2023-05-28,2023-06-03,670889,5486452.0,23323,727797.5,5404483.5,23676.25,1.0,0.6178139647244811,0.9955638252020983
